step_description_id,step_description
1,Unbox covid test package
2,Arrange test material on the table
3,Read the test instruction sheet.
4,Return a test kit item to the package
5,Get the test vial
6,Fill the test vial with the solution
7,Read the test instruction sheet
8,Unwrap unused swab
9,Insert the test swab into her nostril
10,Rotate the test swab around her nostril
11,Extract the test swab from her nostril
12,Repeat the process with the other nostril
13,Dip the test swab into the test vial
14,Rotate the test swab around the test vial
15,Read the instruction sheet
16,Unwrap test indicator
17,Read instruction sheet
18,Wait for the test vial to incubation time
19,Remove the swab from the test vial
20,Insert the collection swab in its pack for disposal
21,Cover the test vial with the lid
22,Apply few drops of test solution into the test indicator
23,Arrange test materials on the table for disposal
24,Waits for 1-2 minutes
25,Check the test indicator
26,Unbox the test pack onto the table
27,Read the instruction sheet on the table
28,Locate and unwrap the test indicator
29,Unwrap the test vial from its packaging
30,Position the covid test vial on the test pack
31,Tear off the seal paper on covid test vial on the test pack
32,Locate and unwrap the test swab
33,Insert the tip of the test swab into the right nostril
34,Rotate the test swab in the right nostril
35,Extract the test swab from the right nostril
36,Dip the test swab into the test vial on the test pack
37,Rotate the test swab in the test vial on the test pack
38,Wait for the test solution incubation time
39,Locate and unwrap the cap of the test vial
40,Remove the test swab from the test vial
41,Cover the test vial with its cap
42,Apply a few drops of the test solution to the test indicator
43,Position the test vial on the test pack
44,Wait for few minutes for the test results
45,Fold the instruction sheet on the table
46,Unbox the test materials from the covid test box onto a table
47,Read the covid test instruction sheet
48,Put away the covid test instruction sheet on the table
49,Remove the test tube seal from the test tube
50,Place the test tube in an erect position on the covid test box
51,Remove the nasal swab from its package
52,Insert the tip of the nasal swab into the left nostril
53,Rotate the nasal swab inside the left nostril
54,Remove the nasal swab from the left nostril
55,Collect sample from the right nostril with the nasal swab
56,Insert the nasal swab into the test tube
57,Rotate the nasal swab in the test tube
58,Remove the nasal swab from the test tube
59,Dispose used covid test materials and packages into the ziplock waste bag
60,Cover the test tube with its cap
61,Remove the covid test plate from its package
62,Apply drops of testing solution inside the test tube onto the covid test plate
63,Dispose the test tube and covid test plate in the ziplock waste bag
64,Put away the used covid test items and the ziplock waste bag into the covid test box
65,Open up the covid test instruction sheet
66,Remove the dust cap from the valve stem
67,Deflate the wheel using a deflating needle
68,Get a tire lever to remove the tube
69,Run the tire lever around the rim to remove the tire with tube from the wheel rim
70,Seperate the inner tube from the tire
71,Fit the inner tube into the tire
72,Push the tire back into place on the wheel rim
73,Inflate the tube to check if the tire bead is properly seated in the rim
74,Cover the valve stem with the dust cap
75,Insert the valve stem into the hole on the rim
76,Insert the tire lever between the tire and wheel rim
77,Pry out a section of the tire with the tire lever
78,Get a tire lever from the pocket
79,Separate the outer tire from the wheel rim with the tire lever
80,Check the inner tube for any damage
81,Check the tire for any damage
82,Get an inner tube from the inner tube box
83,Remove the valve cap from the inner tube
84,Inflate the inner tube a little with an air compressor
85,Fit the outer tire to the rim
86,Fit the tire to the wheel
87,Partially inflate the tube to check the bead is properly seated
88,Pull out the inner tube from the wheel
89,Inflate the tube with an air compressor
90,Fit the inner tube to the wheel
91,pick a tire lever from the apron
92,insert the tire lever in the rim
93,engage the tire lever around the rim
94,pull the tire out of the bicycle rim
95,pull the inner tube out of the tire
96,check the thread of the tire for any damage
97,fix the tire to the bicycle wheel
98,get a pack of new inner tube from the carton
99,unwrap the new inner tube
100,unscrew the valve cap
101,inflate the inner tube a little with a pump
102,fit the inner tube to the bicycle wheel
103,push the valve through its hole
104,inflate the tire fully with the pump
105,Pick a wrench from a work table.
106,Loosen the axle nuts with the wrench.
107,Get a mallet from a tool rack.
108,Loosen the axle nuts using a wrench and a mallet.
109,Pick a wrench from the work table.
110,Loosen the axle nuts with the wrenches.
111,Move the rear derailleur back to slacken the chain.
112,Pull the release lever.
113,Get an appropriate wrench
114,Loosen the axle nut using a wrench pull
115,Remove the wheel from the bicycle frame
116,get a tripod wrench
117,loosen the nuts of the derailleur with a tripod wrench
118,get a socket wrench
119,remove wheel
120,Position the wheel correctly into the fork
121,Tighten the both axle nuts with hand
122,Get a wrench from the tool stand
123,Tighten the both axle nuts with a wrench
124,Put the wrench back in the tool stand
125,Unscrew the axle nuts on the sides.
126,Set the wheel into the fork
127,Tighten the both axle nuts with hands
128,Get the appropriate wrenches from the table
129,Tighten both axle nuts with the wrench
130,Connect the brake noodle to the rim
131,Return the wrenches to the table
132,Tighten the brake cable with hands
133,Press the brake to check if it's active
134,Roll the wheel to check if it's not stuck
135,Position the wheel into the fork
136,Tighten both axle nuts using hands
137,Get socket wrench from the apron
138,Tighten both axle nuts using a socket wrench
139,Return socket wrench back to the apron
140,Tighten the brake cable to the rear axle
141,Press the brake
142,Roll the wheel
143,Get the chain lube from the work table.
144,Check the bicycle hand brake.
145,Rotate the bicycle pedal.
146,Move the bicycle pedal.
147,Apply chain lube to the bicycle chain.
148,Get a cloth from the work table.
149,Place the cloth on the bicycle chain.
150,Rotate the bicycle pedal and place the cloth underneath the bicycle chain.
151,Get a chain lube from the table
152,Slowly backpedal the chain while applying the chain lube to each individual roller
153,Get a cloth from the table
154,Wipe the chain lube droppings on the bike with the cloth
155,Wipe the chain with the cloth to dry off any liquid while backpedaling
156,Get the toothbrushes from the floor.
157,Hold the toothbrushes to the chain as you backpedal with your other hand
158,Get the chain lube from the floor
159,"Slowly move the chain by backpedaling with your other hand, applying lube into the rollers, one by one"
160,call for help
161,tap patient to confirm consciousness
162,check if the patient is breathing
163,compress the chest of the patient with hand
164,check the breath of patient for response
165,kneel down beside the patient's chest
166,tap the patient on the shoulder to check consciousness
167,perform artificial respiration to the patient
168,press straight down on the chest of the patient with both hands clamped together
169,press down on the patient's chest at a consistent rate
170,check the patient's breathing
171,place one hand over the other hand to clamp them together
172,Tap the patient's shoulders to check for consciousness
173,Loudly ask if the patient is okay
174,Place the interlock hands at the center of the patient's chest
175,Call for assistances
176,Press down with both hands to perform a chest compression
177,Get knife with left hand from the chopping board on the kitchen countertop
178,Cut cucumber stalk region with knife on the chopping board
179,Place cut cucumber stalk region in the kitchen sink
180,Chop cucumber with knife on the chopping board
181,Cut cucumber blossom region with knife on the chopping board
182,Place cut cucumber blossom region in the kitchen sink
183,Get tomato with left hand from the container on the gas cooker
184,Remove tomato stalk with knife
185,Dice tomato with knife on the chopping board
186,Get paper towel with left hand from the holder on the kitchen countertop
187,Get bowl from the cabinet
